lambda_seq,cv_auc_mean,cv_auc_sd,cv_treatment_effect_mean,AUC of training data,AUC of test data
0.051309856,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.051194812,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.051079767,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.050964723,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.050849678,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.050734634,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.050619589,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.050504545,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.0503895,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.050274456,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.050159411,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.050044367,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.049929322,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.049814278,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.049699233,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.049584189,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.049469144,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.0493541,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.049239055,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.04912401,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.049008966,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.048893921,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.048778877,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.048663832,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.048548788,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.048433743,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.048318699,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.048203654,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.04808861,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.047973565,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.047858521,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.047743476,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.047628432,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.047513387,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.047398343,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.047283298,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.047168254,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.047053209,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.046938165,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.04682312,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.046708076,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.046593031,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.046477986,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.046362942,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.046247897,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.046132853,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.046017808,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.045902764,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.045787719,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.045672675,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.04555763,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.045442586,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.045327541,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.045212497,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.045097452,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.044982408,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.044867363,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.044752319,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.044637274,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.04452223,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.044407185,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.044292141,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.044177096,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.044062052,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.043947007,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.043831963,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.043716918,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.043601873,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.043486829,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.043371784,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.04325674,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.043141695,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.043026651,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.042911606,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.042796562,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.042681517,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.042566473,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.042451428,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.042336384,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.042221339,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.042106295,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.04199125,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.041876206,0.554270711,0.040946675,-0.017609608,0.554034347,0.559348894
0.041761161,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.041646117,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.041531072,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.041416028,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.041300983,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.041185939,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.041070894,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.040955849,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.040840805,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.04072576,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.040610716,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.040495671,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.040380627,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.040265582,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.040150538,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.040035493,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.039920449,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.039805404,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.03969036,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.039575315,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.039460271,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.039345226,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.039230182,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.039115137,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.039000093,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.038885048,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.038770004,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.038654959,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.038539915,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.03842487,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.038309826,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.038194781,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.038079736,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.037964692,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.037849647,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.037734603,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.037619558,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.037504514,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.037389469,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.037274425,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.03715938,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.037044336,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.036929291,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.036814247,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.036699202,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.036584158,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.036469113,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.036354069,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.036239024,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.03612398,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.036008935,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.035893891,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.035778846,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.035663802,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.035548757,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.035433712,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.035318668,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.035203623,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.035088579,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.034973534,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.03485849,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.034743445,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.034628401,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.034513356,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.034398312,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.034283267,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.034168223,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.034053178,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.033938134,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.033823089,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.033708045,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.033593,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.033477956,0.554257706,0.040967978,-0.017609608,0.554034347,0.559348894
0.033362911,0.563125362,0.03722509,-0.017609608,0.554034347,0.559348894
0.033247867,0.56316449,0.037227773,-0.017609608,0.554034347,0.559348894
0.033132822,0.568399241,0.03455077,-0.017609608,0.554034347,0.559348894
0.033017778,0.571774137,0.038937301,-0.017609608,0.554034347,0.559348894
0.032902733,0.571761131,0.038895809,-0.017609608,0.554034347,0.559348894
0.032787688,0.571774137,0.038906277,-0.017609608,0.554034347,0.559348894
0.032672644,0.571787142,0.038925888,-0.017609608,0.554034347,0.559348894
0.032557599,0.571800148,0.038936483,-0.017609608,0.554034347,0.559348894
0.032442555,0.571800092,0.038966648,-0.017609608,0.554034347,0.559348894
0.03232751,0.571826103,0.038987944,-0.017609608,0.615871985,0.608234331
0.032212466,0.571800036,0.038995344,-0.017609608,0.6158942,0.608276311
0.032097421,0.578441885,0.039916184,-0.017609608,0.61589028,0.60838126
0.031982377,0.578376577,0.039970699,-0.017609608,0.615882439,0.60842324
0.031867332,0.585399597,0.044531217,-0.017609608,0.6158942,0.60838126
0.031752288,0.590718884,0.049171317,-0.017609608,0.615449903,0.60838126
0.031637243,0.598967317,0.057812511,-0.017609608,0.615447289,0.60836027
0.031522199,0.616329213,0.041247137,-0.017609608,0.615421154,0.608297301
0.031407154,0.616355168,0.041214261,-0.017609608,0.616491387,0.608318291
0.03129211,0.616368174,0.041218879,-0.017609608,0.616487467,0.608171361
0.031177065,0.616355056,0.041248952,-0.017609608,0.616499228,0.608171361
0.031062021,0.616355056,0.041248952,-0.017609608,0.616501841,0.608213341
0.030946976,0.61649879,0.041252313,-0.017609608,0.617621731,0.608675119
0.030831932,0.617512987,0.041090228,-0.017609608,0.617628265,0.608675119
0.030716887,0.617473506,0.041113118,-0.017609608,0.617633492,0.608654129
0.030601843,0.617421948,0.041186871,-0.017609608,0.617632185,0.608612149
0.030486798,0.617408942,0.041210834,-0.017609608,0.617626958,0.608570169
0.030371754,0.617408942,0.04119341,-0.017609608,0.617633492,0.608570169
0.030256709,0.617529242,0.041265585,-0.017609608,0.617625651,0.608591159
0.030141665,0.616928294,0.040130895,-0.017609608,0.617578608,0.608591159
0.03002662,0.616914824,0.040130297,-0.017609608,0.617589062,0.608591159
0.029911575,0.616836454,0.040282009,-0.017609608,0.617560313,0.608633139
0.029796531,0.617863896,0.040782728,-0.017609608,0.618079095,0.608255321
0.029681486,0.618987198,0.038686677,-0.017609608,0.618066028,0.608276311
0.029566442,0.618948125,0.038742521,-0.017609608,0.618222838,0.608297301
0.029451397,0.618882929,0.038775279,-0.017609608,0.619281311,0.608318291
0.029336353,0.619949388,0.039564101,-0.017609608,0.620361997,0.608318291
0.029221308,0.620352561,0.04002938,-0.017609608,0.620220868,0.608318291
0.029106264,0.620366031,0.040056305,-0.017609608,0.620224788,0.608066412
0.028991219,0.61967627,0.039581926,-0.017609608,0.620236549,0.608024432
0.028876175,0.619702337,0.039647535,-0.017609608,0.620392053,0.608066412
0.02876113,0.619689332,0.039650845,-0.017609608,0.620388133,0.608108392
0.028646086,0.619702337,0.039634331,-0.017609608,0.620331942,0.608129382
0.028531041,0.619520315,0.039740988,-0.017609608,0.620328022,0.608129382
0.028415997,0.620599723,0.038506439,-0.017609608,0.620280979,0.608108392
0.028300952,0.620403543,0.038544878,-0.017609608,0.620090192,0.607415726
0.028185908,0.620741897,0.038625811,-0.017609608,0.620066671,0.607499685
0.028070863,0.620780969,0.038675159,-0.017609608,0.620023548,0.607520675
0.027955819,0.620598611,0.038742772,-0.017609608,0.6200144,0.607562655
0.027840774,0.620266968,0.038532084,-0.017609608,0.621097701,0.607205827
0.02772573,0.620279974,0.03854097,-0.017609608,0.621096394,0.607247807
0.027610685,0.620318991,0.038563276,-0.017609608,0.623221179,0.607247807
0.027495641,0.620280438,0.038642272,-0.017609608,0.623223792,0.607247807
0.027380596,0.621333891,0.039873881,-0.017609608,0.623226406,0.607163847
0.027265551,0.621320885,0.040008427,-0.017609608,0.623231633,0.611319844
0.027150507,0.621320885,0.040008427,-0.017609608,0.623231633,0.611319844
0.027035462,0.621293946,0.039997097,-0.017609608,0.623253848,0.611319844
0.026920418,0.62113743,0.040008364,-0.017609608,0.62318459,0.611298854
0.026805373,0.621111419,0.040034363,-0.017609608,0.623175442,0.611298854
0.026690329,0.622255447,0.041674389,-0.017609608,0.623106184,0.611277864
0.026575284,0.625887146,0.03655822,-0.017609608,0.62303562,0.611277864
0.02646024,0.625718018,0.036684142,-0.017609608,0.62304346,0.611277864
0.026345195,0.625731023,0.036668017,-0.017609608,0.623504745,0.611214894
0.026230151,0.626109755,0.037331482,-0.022046442,0.623517812,0.611256874
0.026115106,0.626109755,0.037331482,-0.022046442,0.623513892,0.611256874
0.026000062,0.629282783,0.03474519,-0.022046442,0.623367535,0.610963016
0.025885017,0.629334806,0.034829845,-0.022046442,0.623227713,0.610963016
0.025769973,0.629698962,0.034972037,-0.022046442,0.623225099,0.615160992
0.025654928,0.63060941,0.034376559,-0.022046442,0.665043894,0.648870744
0.025539884,0.63623608,0.039647534,-0.022046442,0.665034747,0.648849754
0.025424839,0.639461467,0.038887523,-0.022046442,0.664998157,0.648849754
0.025309795,0.63942245,0.038912115,-0.022046442,0.664928899,0.648828765
0.02519475,0.639989576,0.039918842,-0.022046442,0.664923672,0.648807775
0.025079706,0.645737375,0.039863102,-0.022046442,0.665969077,0.648429957
0.024964661,0.646726264,0.039995943,-0.022046442,0.66640684,0.648408967
0.024849617,0.6478707,0.041233315,-0.022046442,0.666375478,0.648450947
0.024734572,0.651906919,0.046871784,-0.022046442,0.666388546,0.648094119
0.024619528,0.6528989,0.048739716,-0.022430528,0.66630622,0.648094119
0.024504483,0.660116892,0.05253808,-0.022430528,0.666208213,0.648094119
0.024389438,0.661079305,0.052262483,-0.022430528,0.666716541,0.648094119
0.024274394,0.661417859,0.052215563,-0.022430528,0.666712621,0.648052139
0.024159349,0.66124873,0.052208273,-0.022430528,0.667705755,0.648052139
0.024044305,0.661261736,0.052206711,-0.022430528,0.667572466,0.652208136
0.02392926,0.662002142,0.050848616,-0.022430528,0.667571159,0.652250115
0.023814216,0.663007777,0.052714454,-0.022430528,0.667565932,0.652292095
0.023699171,0.663007777,0.052714454,-0.021896692,0.667439177,0.651956257
0.023584127,0.66282525,0.052555942,-0.021896692,0.668292489,0.651977247
0.023469082,0.66286566,0.05258718,-0.021896692,0.668138291,0.651977247
0.023354038,0.663632934,0.052503396,-0.021896692,0.669222899,0.651956257
0.023238993,0.663191911,0.052032659,-0.022541487,0.670223873,0.650675874
0.023123949,0.670709143,0.044428215,-0.022541487,0.679198671,0.659008858
0.023008904,0.671439652,0.042948496,-0.022541487,0.679015725,0.659008858
0.02289386,0.67321043,0.042940235,-0.022541487,0.679462636,0.658987868
0.022778815,0.673223956,0.042930217,-0.022541487,0.679913467,0.658987868
0.022663771,0.673080895,0.042976424,-0.022541487,0.679855969,0.659029848
0.022548726,0.673227264,0.043342347,-0.022541487,0.680747177,0.659071827
0.022433682,0.673578879,0.043761927,-0.022541487,0.68167236,0.658735989
0.022318637,0.67357819,0.043728774,-0.022541487,0.687533159,0.662766047
0.022203593,0.676301329,0.04486627,-0.022541487,0.6873476,0.662850006
0.022088548,0.6766051,0.044835192,-0.022541487,0.687297943,0.662577138
0.021973504,0.678699001,0.044452478,-0.022541487,0.687265274,0.662367239
0.021858459,0.679102118,0.044228524,-0.022541487,0.687220844,0.662304269
0.021743414,0.680259559,0.043908918,-0.022541487,0.687058807,0.662451199
0.02162837,0.680116386,0.043886776,-0.022541487,0.687423391,0.665914529
0.021513325,0.681374397,0.044079798,-0.022541487,0.687409017,0.665935519
0.021398281,0.681503753,0.044169595,-0.022541487,0.687482195,0.665956509
0.021283236,0.681345732,0.044200753,-0.022541487,0.687426005,0.665956509
0.021168192,0.681293654,0.044234096,-0.022541487,0.687410324,0.665956509
0.021053147,0.682886431,0.045747037,-0.022541487,0.687414244,0.66568364
0.020938103,0.683939884,0.044539219,-0.022541487,0.687339759,0.66583057
0.020823058,0.684115459,0.044606641,-0.022541487,0.688113358,0.6657676
0.020708014,0.684780043,0.04358416,-0.022541487,0.68798791,0.666019479
0.020592969,0.684780267,0.043523648,-0.022541487,0.688944455,0.666061458
0.020477925,0.684412805,0.043474127,-0.022541487,0.689865718,0.666124428
0.02036288,0.684022173,0.043397821,-0.022541487,0.69361088,0.677437975
0.020247836,0.683825784,0.043405767,-0.022541487,0.694503394,0.679285085
0.020132791,0.6844337,0.04346476,-0.022541487,0.695049618,0.678592418
0.020017747,0.684329263,0.043571766,-0.027425108,0.695439031,0.678193611
0.019902702,0.684079244,0.043216853,-0.027425108,0.695147624,0.678151631
0.019787658,0.684431011,0.04280094,-0.027425108,0.695083593,0.679767852
0.019672613,0.684079748,0.04305197,-0.027425108,0.695376306,0.679956761
0.019557569,0.683631055,0.045006816,-0.027425108,0.6955684,0.679830822
0.019442524,0.683552093,0.045068189,-0.027425108,0.695493914,0.681510012
0.01932748,0.684597025,0.045129474,-0.027425108,0.695504368,0.681342093
0.019212435,0.686181017,0.046155239,-0.027425108,0.695551412,0.681363083
0.01909739,0.686063966,0.04627461,-0.027425108,0.697404391,0.681069225
0.018982346,0.686154893,0.04637632,-0.027425108,0.697403084,0.681111204
0.018867301,0.686967631,0.047584794,-0.027425108,0.697242354,0.681111204
0.018752257,0.687956352,0.04669924,-0.027425108,0.697808179,0.681090215
0.018637212,0.687491295,0.046504778,-0.027425108,0.697661822,0.681384073
0.018522168,0.687517531,0.046379827,-0.027425108,0.699188113,0.683546031
0.018407123,0.68719211,0.046073864,-0.027425108,0.699416795,0.683042274
0.018292079,0.687151741,0.046913249,-0.027425108,0.699537016,0.683252172
0.018177034,0.687529969,0.046547071,-0.02792772,0.69954355,0.683231183
0.01806199,0.688307025,0.046814711,-0.02792772,0.699395887,0.685183242
