lambda,average CV_AUC,average CV_treatment_effect,AUC of training data,AUC of test data,
1.489763914,0.4890,0.0050,0.5170,0.5101,
1.488763914,0.4890,0.0050,0.5170,0.5101,
1.487763914,0.4890,0.0050,0.5170,0.5101,
1.486763914,0.4890,0.0050,0.5170,0.5101,
1.485763914,0.4890,0.0050,0.5170,0.5101,
1.484763914,0.4890,0.0050,0.5170,0.5101,
1.483763914,0.4890,0.0050,0.5170,0.5101,
1.482763914,0.4890,0.0050,0.5170,0.5101,
1.481763914,0.4890,0.0050,0.5170,0.5101,
1.480763914,0.4890,0.0050,0.5170,0.5101,
1.479763914,0.4890,0.0050,0.5170,0.5101,
1.478763914,0.4890,0.0050,0.5170,0.5101,
1.477763914,0.4890,0.0050,0.5170,0.5101,
1.476763914,0.4890,0.0050,0.5170,0.5101,
1.475763914,0.4890,0.0050,0.5170,0.5101,
1.474763914,0.4890,0.0050,0.5170,0.5101,
1.473763914,0.4890,0.0050,0.5170,0.5101,
1.472763914,0.4890,0.0050,0.5170,0.5101,
1.471763914,0.4890,0.0050,0.5170,0.5101,
1.470763914,0.4890,0.0050,0.5170,0.5101,
1.469763914,0.4890,0.0050,0.5170,0.5101,
1.468763914,0.4890,0.0050,0.5170,0.5101,
1.467763914,0.4890,0.0050,0.5170,0.5101,
1.466763914,0.4890,0.0050,0.5170,0.5101,
1.465763914,0.4890,0.0050,0.5170,0.5101,
1.464763914,0.4890,0.0050,0.5170,0.5101,
1.463763914,0.4890,0.0050,0.5170,0.5101,
1.462763914,0.4890,0.0050,0.5170,0.5101,
1.461763914,0.4890,0.0050,0.5170,0.5101,
1.460763914,0.4890,0.0050,0.5170,0.5101,
1.459763914,0.4890,0.0050,0.5170,0.5101,
1.458763914,0.4890,0.0050,0.5170,0.5101,
1.457763914,0.4890,0.0050,0.5170,0.5101,
1.456763914,0.4890,0.0050,0.5170,0.5101,
1.455763914,0.4890,0.0050,0.5170,0.5101,
1.454763914,0.4890,0.0050,0.5170,0.5101,
1.453763914,0.4890,0.0050,0.5170,0.5101,
1.452763914,0.4890,0.0050,0.5170,0.5101,
1.451763914,0.4890,0.0050,0.5170,0.5101,
1.450763914,0.4890,0.0050,0.5170,0.5101,
1.449763914,0.4890,0.0050,0.5170,0.5101,
1.448763914,0.4890,0.0050,0.5170,0.5101,
1.447763914,0.4890,0.0050,0.5170,0.5101,
1.446763914,0.4890,0.0050,0.5170,0.5101,
1.445763914,0.4890,0.0050,0.5170,0.5101,
1.444763914,0.4890,0.0050,0.5170,0.5101,
1.443763914,0.4890,0.0050,0.5170,0.5101,
1.442763914,0.4890,0.0050,0.5170,0.5101,
1.441763914,0.4890,0.0050,0.5170,0.5101,
1.440763914,0.4890,0.0050,0.5170,0.5101,
1.439763914,0.4890,0.0050,0.5170,0.5101,
1.438763914,0.4890,0.0050,0.5170,0.5101,
1.437763914,0.4890,0.0050,0.5170,0.5101,
1.436763914,0.4890,0.0050,0.5170,0.5101,
1.435763914,0.4890,0.0050,0.5170,0.5101,
1.434763914,0.4890,0.0050,0.5170,0.5101,
1.433763914,0.4890,0.0050,0.5170,0.5101,
1.432763914,0.4890,0.0050,0.5170,0.5101,
1.431763914,0.4890,0.0050,0.5170,0.5101,
1.430763914,0.4890,0.0050,0.5170,0.5101,
1.429763914,0.4890,0.0050,0.5170,0.5101,
1.428763914,0.4890,0.0050,0.5170,0.5101,
1.427763914,0.4890,0.0050,0.5170,0.5101,
1.426763914,0.4890,0.0050,0.5170,0.5101,
1.425763914,0.4890,0.0050,0.5170,0.5101,
1.424763914,0.4890,0.0050,0.5170,0.5101,
1.423763914,0.4890,0.0050,0.5170,0.5101,
1.422763914,0.4890,0.0050,0.5170,0.5101,
1.421763914,0.4890,0.0050,0.5170,0.5101,
1.420763914,0.4890,0.0050,0.5170,0.5101,
1.419763914,0.4890,0.0050,0.5170,0.5101,
1.418763914,0.4890,0.0050,0.5170,0.5101,
1.417763914,0.4890,0.0050,0.5170,0.5101,
1.416763914,0.4890,0.0050,0.5170,0.5101,
1.415763914,0.4890,0.0050,0.5170,0.5101,
1.414763914,0.4890,0.0050,0.5170,0.5101,
1.413763914,0.4890,0.0050,0.5170,0.5101,
1.412763914,0.4890,0.0050,0.5170,0.5101,
1.411763914,0.4890,0.0050,0.5170,0.5101,
1.410763914,0.4890,0.0050,0.5170,0.5101,
1.409763914,0.4890,0.0050,0.5170,0.5101,
1.408763914,0.4890,0.0050,0.5170,0.5101,
1.407763914,0.4890,0.0050,0.5170,0.5101,
1.406763914,0.4890,0.0050,0.5170,0.5101,
1.405763914,0.4890,0.0050,0.5170,0.5101,
1.404763914,0.4890,0.0050,0.5170,0.5101,
1.403763914,0.4890,0.0050,0.5170,0.5101,
1.402763914,0.4890,0.0050,0.5170,0.5101,
1.401763914,0.4890,0.0050,0.5170,0.5101,
1.400763914,0.4890,0.0050,0.5170,0.5101,
1.399763914,0.4890,0.0050,0.5170,0.5101,
1.398763914,0.4890,0.0050,0.5170,0.5101,
1.397763914,0.4890,0.0050,0.5170,0.5101,
1.396763914,0.4890,0.0050,0.5170,0.5101,
1.395763914,0.4890,0.0050,0.5170,0.5101,
1.394763914,0.4890,0.0050,0.5170,0.5101,
1.393763914,0.4890,0.0050,0.5170,0.5101,
1.392763914,0.4890,0.0050,0.5170,0.5101,
1.391763914,0.4890,0.0050,0.5170,0.5101,
1.390763914,0.4890,0.0050,0.5170,0.5101,
1.389763914,0.4890,0.0050,0.5170,0.5101,
1.388763914,0.4890,0.0050,0.5170,0.5101,
1.387763914,0.4890,0.0050,0.5170,0.5101,
1.386763914,0.4890,0.0050,0.5170,0.5101,
1.385763914,0.4890,0.0050,0.5170,0.5101,
1.384763914,0.4890,0.0050,0.5170,0.5101,
1.383763914,0.4890,0.0050,0.5170,0.5101,
1.382763914,0.4890,0.0050,0.5170,0.5101,
1.381763914,0.4890,0.0050,0.5170,0.5101,
1.380763914,0.4890,0.0050,0.5170,0.5101,
1.379763914,0.4890,0.0050,0.5170,0.5101,
1.378763914,0.4890,0.0050,0.5170,0.5101,
1.377763914,0.4890,0.0050,0.5170,0.5101,
1.376763914,0.4890,0.0050,0.5170,0.5101,
1.375763914,0.4890,0.0050,0.5170,0.5101,
1.374763914,0.4890,0.0050,0.5170,0.5101,
1.373763914,0.4890,0.0050,0.5170,0.5101,
1.372763914,0.4890,0.0050,0.5170,0.5101,
1.371763914,0.4890,0.0050,0.5170,0.5101,
1.370763914,0.4890,0.0050,0.5170,0.5101,
1.369763914,0.4890,0.0050,0.5170,0.5101,
1.368763914,0.4890,0.0050,0.5170,0.5101,
1.367763914,0.4890,0.0050,0.5170,0.5101,
1.366763914,0.4890,0.0050,0.5170,0.5101,
1.365763914,0.4890,0.0050,0.5170,0.5101,
1.364763914,0.4890,0.0050,0.5170,0.5101,
1.363763914,0.4890,0.0050,0.5170,0.5101,
1.362763914,0.4890,0.0050,0.5170,0.5101,
1.361763914,0.4890,0.0050,0.5170,0.5101,
1.360763914,0.4890,0.0050,0.5170,0.5101,
1.359763914,0.4890,0.0050,0.5170,0.5101,
1.358763914,0.4890,0.0050,0.5170,0.5101,
1.357763914,0.4890,0.0050,0.5170,0.5101,
1.356763914,0.4890,0.0050,0.5170,0.5101,
1.355763914,0.4890,0.0050,0.5170,0.5101,
1.354763914,0.4890,0.0050,0.5170,0.5101,
1.353763914,0.4890,0.0050,0.5170,0.5101,
1.352763914,0.4890,0.0050,0.5170,0.5101,
1.351763914,0.4890,0.0050,0.5170,0.5101,
1.350763914,0.4890,0.0050,0.5170,0.5101,
1.349763914,0.4890,0.0050,0.5170,0.5101,
1.348763914,0.4890,0.0050,0.5170,0.5101,
1.347763914,0.4890,0.0050,0.5170,0.5101,
1.346763914,0.4890,0.0050,0.5170,0.5101,
1.345763914,0.4890,0.0050,0.5170,0.5101,
1.344763914,0.4890,0.0050,0.5170,0.5101,
1.343763914,0.4890,0.0050,0.5170,0.5101,
1.342763914,0.4890,0.0050,0.5170,0.5101,
1.341763914,0.4890,0.0050,0.5170,0.5101,
1.340763914,0.4890,0.0050,0.5170,0.5101,
1.339763914,0.4890,0.0050,0.5170,0.5101,
1.338763914,0.4890,0.0050,0.5170,0.5101,
1.337763914,0.4890,0.0050,0.5170,0.5101,
1.336763914,0.4890,0.0050,0.5170,0.5101,
1.335763914,0.4890,0.0050,0.5170,0.5101,
1.334763914,0.4890,0.0050,0.5170,0.5101,
1.333763914,0.4890,0.0050,0.5170,0.5101,
1.332763914,0.4890,0.0050,0.5170,0.5101,
1.331763914,0.4890,0.0050,0.5170,0.5101,
1.330763914,0.4890,0.0050,0.5170,0.5101,
1.329763914,0.4890,0.0050,0.5170,0.5101,
1.328763914,0.4890,0.0050,0.5170,0.5101,
1.327763914,0.4890,0.0050,0.5170,0.5101,
1.326763914,0.4890,0.0050,0.5170,0.5101,
1.325763914,0.4890,0.0050,0.5170,0.5101,
1.324763914,0.4890,0.0050,0.5170,0.5101,
1.323763914,0.4890,0.0050,0.5170,0.5101,
1.322763914,0.4890,0.0050,0.5170,0.5101,
1.321763914,0.4890,0.0050,0.5170,0.5101,
1.320763914,0.4890,0.0050,0.5170,0.5101,
1.319763914,0.4890,0.0050,0.5170,0.5101,
1.318763914,0.4890,0.0050,0.5170,0.5101,
1.317763914,0.4890,0.0050,0.5170,0.5101,
1.316763914,0.4890,0.0050,0.5170,0.5101,
1.315763914,0.4890,0.0050,0.5170,0.5101,
1.314763914,0.4890,0.0050,0.5170,0.5101,
1.313763914,0.4890,0.0050,0.5170,0.5101,
1.312763914,0.4890,0.0050,0.5170,0.5101,
1.311763914,0.4890,0.0050,0.5170,0.5101,
1.310763914,0.4890,0.0050,0.5170,0.5101,
1.309763914,0.4890,0.0050,0.5170,0.5101,
1.308763914,0.4890,0.0050,0.5170,0.5101,
1.307763914,0.4890,0.0050,0.5170,0.5101,
1.306763914,0.4890,0.0050,0.5170,0.5101,
1.305763914,0.4890,0.0050,0.5170,0.5101,
1.304763914,0.4890,0.0050,0.5170,0.5101,
1.303763914,0.4890,0.0050,0.5170,0.5101,
1.302763914,0.4890,0.0050,0.5170,0.5101,
1.301763914,0.4890,0.0050,0.5170,0.5101,
1.300763914,0.4890,0.0050,0.5170,0.5101,
1.299763914,0.4890,0.0050,0.5170,0.5101,
1.298763914,0.4890,0.0050,0.5170,0.5101,
1.297763914,0.4890,0.0050,0.5170,0.5101,
1.296763914,0.4890,0.0050,0.5170,0.5101,
1.295763914,0.4890,0.0050,0.5170,0.5101,
1.294763914,0.4890,0.0050,0.5170,0.5101,
1.293763914,0.4890,0.0050,0.5170,0.5101,
1.292763914,0.4890,0.0050,0.5170,0.5101,
1.291763914,0.4890,0.0050,0.5170,0.5101,
1.290763914,0.4890,0.0050,0.5170,0.5101,
1.289763914,0.4890,0.0050,0.5170,0.5101,
1.288763914,0.4890,0.0050,0.5170,0.5101,
1.287763914,0.4890,0.0050,0.5170,0.5101,
1.286763914,0.4890,0.0050,0.5170,0.5101,
1.285763914,0.4940,-0.0034,0.5170,0.5101,
1.284763914,0.4940,-0.0034,0.5170,0.5101,
1.283763914,0.4940,-0.0034,0.5170,0.5101,
1.282763914,0.4940,-0.0034,0.5170,0.5101,
1.281763914,0.4940,-0.0034,0.5170,0.5101,
1.280763914,0.4940,-0.0034,0.5170,0.5101,
1.279763914,0.4940,-0.0034,0.5170,0.5101,
1.278763914,0.4940,-0.0034,0.5170,0.5101,
1.277763914,0.4940,-0.0034,0.5170,0.5101,
1.276763914,0.4940,-0.0034,0.5170,0.5101,
1.275763914,0.4940,-0.0034,0.5170,0.5101,
1.274763914,0.4940,-0.0034,0.5170,0.5101,
1.273763914,0.4940,-0.0034,0.5170,0.5101,
1.272763914,0.4940,-0.0034,0.5170,0.5101,
1.271763914,0.4940,-0.0034,0.5170,0.5101,
1.270763914,0.4940,-0.0034,0.5170,0.5101,
1.269763914,0.4940,-0.0034,0.5170,0.5101,
1.268763914,0.4940,-0.0034,0.5170,0.5101,
1.267763914,0.4940,-0.0034,0.5170,0.5101,
1.266763914,0.4940,-0.0034,0.5170,0.5101,
1.265763914,0.4940,-0.0034,0.5170,0.5101,
1.264763914,0.4940,-0.0034,0.5170,0.5101,
1.263763914,0.4940,-0.0034,0.5170,0.5101,
1.262763914,0.4940,-0.0034,0.5170,0.5101,
1.261763914,0.4940,-0.0034,0.5170,0.5101,
1.260763914,0.4940,-0.0034,0.5170,0.5101,
1.259763914,0.4940,-0.0034,0.5170,0.5101,
1.258763914,0.4940,-0.0034,0.5170,0.5101,
1.257763914,0.4940,-0.0034,0.5170,0.5101,
1.256763914,0.4940,-0.0034,0.5170,0.5101,
1.255763914,0.4940,-0.0034,0.5170,0.5101,
1.254763914,0.4940,-0.0034,0.5170,0.5101,
1.253763914,0.4940,-0.0034,0.5170,0.5101,
1.252763914,0.4940,-0.0034,0.5170,0.5101,
1.251763914,0.4940,-0.0034,0.5170,0.5101,
1.250763914,0.4940,-0.0034,0.5170,0.5101,
1.249763914,0.4940,-0.0034,0.5170,0.5101,
1.248763914,0.4940,-0.0034,0.5170,0.5101,
1.247763914,0.4940,-0.0034,0.5170,0.5101,
1.246763914,0.4940,-0.0034,0.5170,0.5101,
1.245763914,0.4940,-0.0034,0.5170,0.5101,
1.244763914,0.4940,-0.0034,0.5170,0.5101,
1.243763914,0.4940,-0.0034,0.5170,0.5101,
1.242763914,0.4940,-0.0034,0.5170,0.5101,
1.241763914,0.4940,-0.0034,0.5170,0.5101,
1.240763914,0.4940,-0.0034,0.5170,0.5101,
1.239763914,0.4940,-0.0034,0.5170,0.5101,
1.238763914,0.4940,-0.0034,0.5170,0.5101,
1.237763914,0.4940,-0.0034,0.5170,0.5101,
1.236763914,0.4940,-0.0034,0.5170,0.5101,
1.235763914,0.4940,-0.0034,0.5170,0.5101,
1.234763914,0.4940,-0.0034,0.5170,0.5101,
1.233763914,0.4940,-0.0034,0.5170,0.5101,
1.232763914,0.4940,-0.0034,0.5170,0.5101,
1.231763914,0.4940,-0.0034,0.5170,0.5101,
1.230763914,0.4940,-0.0034,0.5170,0.5101,
1.229763914,0.4940,-0.0034,0.5170,0.5101,
1.228763914,0.4940,-0.0034,0.5170,0.5101,
1.227763914,0.4940,-0.0034,0.5170,0.5101,
1.226763914,0.4940,-0.0034,0.5170,0.5101,
1.225763914,0.4940,-0.0034,0.5170,0.5101,
1.224763914,0.4940,-0.0034,0.5170,0.5101,
1.223763914,0.4940,-0.0034,0.5170,0.5101,
1.222763914,0.4940,-0.0034,0.5170,0.5101,
1.221763914,0.4940,-0.0034,0.5170,0.5101,
1.220763914,0.4940,-0.0034,0.5170,0.5101,
1.219763914,0.4940,-0.0034,0.5170,0.5101,
1.218763914,0.4940,-0.0034,0.5170,0.5101,
1.217763914,0.4940,-0.0034,0.5170,0.5101,
1.216763914,0.4940,-0.0034,0.5170,0.5101,
1.215763914,0.4940,-0.0034,0.5170,0.5101,
1.214763914,0.4940,-0.0034,0.5170,0.5101,
1.213763914,0.4940,-0.0034,0.5170,0.5101,
1.212763914,0.4940,-0.0034,0.5170,0.5101,
1.211763914,0.4940,-0.0034,0.5170,0.5101,
1.210763914,0.4940,-0.0034,0.5170,0.5101,
1.209763914,0.4940,-0.0034,0.5170,0.5101,
1.208763914,0.4940,-0.0034,0.5170,0.5101,
1.207763914,0.4940,-0.0034,0.5170,0.5101,
1.206763914,0.4940,-0.0034,0.5170,0.5101,
1.205763914,0.4940,-0.0034,0.5170,0.5101,
1.204763914,0.4940,-0.0034,0.5170,0.5101,
1.203763914,0.4940,-0.0034,0.5170,0.5101,
1.202763914,0.4940,-0.0034,0.5170,0.5101,
1.201763914,0.4940,-0.0034,0.5170,0.5101,
1.200763914,0.4940,-0.0034,0.5170,0.5101,
1.199763914,0.4940,-0.0034,0.5170,0.5101,
1.198763914,0.4940,-0.0034,0.5170,0.5101,
1.197763914,0.4940,-0.0034,0.5170,0.5101,
1.196763914,0.4940,-0.0034,0.5170,0.5101,
1.195763914,0.4940,-0.0034,0.5170,0.5101,
1.194763914,0.4940,-0.0034,0.5170,0.5101,
1.193763914,0.4940,-0.0034,0.5170,0.5101,
1.192763914,0.4940,-0.0034,0.5170,0.5101,
1.191763914,0.4940,-0.0034,0.5170,0.5101,
1.190763914,0.4940,-0.0034,0.5170,0.5101,
1.189763914,0.4940,-0.0034,0.5170,0.5101,
1.188763914,0.4940,-0.0034,0.5170,0.5101,
1.187763914,0.4940,-0.0034,0.5170,0.5101,
1.186763914,0.4940,-0.0034,0.5170,0.5101,
1.185763914,0.4940,-0.0034,0.5170,0.5101,
1.184763914,0.4940,-0.0034,0.5170,0.5101,
1.183763914,0.4940,-0.0034,0.5170,0.5101,
1.182763914,0.4940,-0.0034,0.5170,0.5101,
1.181763914,0.4940,-0.0034,0.5170,0.5101,
1.180763914,0.4940,-0.0034,0.5170,0.5101,
1.179763914,0.4940,-0.0034,0.5170,0.5101,
1.178763914,0.4940,-0.0034,0.5170,0.5101,
1.177763914,0.4940,-0.0034,0.5170,0.5101,
1.176763914,0.4940,-0.0034,0.5170,0.5101,
1.175763914,0.4940,-0.0034,0.5170,0.5101,
1.174763914,0.4940,-0.0034,0.5170,0.5101,
1.173763914,0.4940,-0.0034,0.5170,0.5101,
1.172763914,0.4940,-0.0034,0.5170,0.5101,
1.171763914,0.4940,-0.0034,0.5170,0.5101,
1.170763914,0.4940,-0.0034,0.5170,0.5101,
1.169763914,0.4940,-0.0034,0.5170,0.5101,
1.168763914,0.4940,-0.0034,0.5170,0.5101,
1.167763914,0.4940,-0.0034,0.5170,0.5101,
1.166763914,0.4940,-0.0034,0.5170,0.5101,
1.165763914,0.4940,-0.0034,0.5170,0.5101,
1.164763914,0.4940,-0.0034,0.5170,0.5101,
1.163763914,0.4940,-0.0034,0.5170,0.5101,
1.162763914,0.4940,-0.0034,0.5170,0.5101,
1.161763914,0.4940,-0.0034,0.5170,0.5101,
1.160763914,0.4940,-0.0034,0.5170,0.5101,
1.159763914,0.4940,-0.0034,0.5170,0.5101,
1.158763914,0.4940,-0.0034,0.5170,0.5101,
1.157763914,0.4940,-0.0034,0.5170,0.5101,
1.156763914,0.4940,-0.0034,0.5170,0.5101,
1.155763914,0.4940,-0.0034,0.5170,0.5101,
1.154763914,0.4940,-0.0034,0.5170,0.5101,
1.153763914,0.4940,-0.0034,0.5170,0.5101,
1.152763914,0.4940,-0.0034,0.5170,0.5101,
1.151763914,0.4940,-0.0034,0.5170,0.5101,
1.150763914,0.4940,-0.0034,0.5170,0.5101,
1.149763914,0.4940,-0.0034,0.5170,0.5101,
1.148763914,0.4940,-0.0034,0.5170,0.5101,
1.147763914,0.4940,-0.0034,0.5170,0.5101,
1.146763914,0.4940,-0.0034,0.5170,0.5101,
1.145763914,0.4940,-0.0034,0.5170,0.5101,
1.144763914,0.4940,-0.0034,0.5170,0.5101,
1.143763914,0.4940,-0.0034,0.5170,0.5101,
1.142763914,0.4940,-0.0034,0.5170,0.5101,
1.141763914,0.4940,-0.0034,0.5170,0.5101,
1.140763914,0.4940,-0.0034,0.5170,0.5101,
1.139763914,0.4940,-0.0034,0.5170,0.5101,
1.138763914,0.4940,-0.0034,0.5170,0.5101,
1.137763914,0.4940,-0.0034,0.5170,0.5101,
1.136763914,0.4940,-0.0034,0.5170,0.5101,
1.135763914,0.4940,-0.0034,0.5170,0.5101,
1.134763914,0.4940,-0.0034,0.5170,0.5101,
1.133763914,0.4940,-0.0034,0.5170,0.5101,
1.132763914,0.4940,-0.0034,0.5170,0.5101,
1.131763914,0.4940,-0.0034,0.5170,0.5101,
1.130763914,0.4940,-0.0034,0.5170,0.5101,
1.129763914,0.4940,-0.0034,0.5170,0.5101,
1.128763914,0.4940,-0.0034,0.5170,0.5101,
1.127763914,0.4940,-0.0034,0.5170,0.5101,
1.126763914,0.4940,-0.0034,0.5170,0.5101,
1.125763914,0.4940,-0.0034,0.5170,0.5101,
1.124763914,0.4940,-0.0034,0.5170,0.5101,
1.123763914,0.4940,-0.0034,0.5170,0.5101,
1.122763914,0.4940,-0.0034,0.5170,0.5101,
1.121763914,0.4940,-0.0034,0.5170,0.5101,
1.120763914,0.4940,-0.0034,0.5170,0.5101,
1.119763914,0.4940,-0.0034,0.5170,0.5101,
1.118763914,0.4940,-0.0034,0.5170,0.5101,
1.117763914,0.4940,-0.0034,0.5170,0.5101,
1.116763914,0.4940,-0.0034,0.5170,0.5101,
1.115763914,0.4940,-0.0034,0.5170,0.5101,
1.114763914,0.4940,-0.0034,0.5170,0.5101,
1.113763914,0.4940,-0.0034,0.5170,0.5101,
1.112763914,0.4940,-0.0034,0.5170,0.5101,
1.111763914,0.4940,-0.0034,0.5170,0.5101,
1.110763914,0.4940,-0.0034,0.5170,0.5101,
1.109763914,0.4940,-0.0034,0.5170,0.5101,
1.108763914,0.4940,-0.0034,0.5170,0.5101,
1.107763914,0.4940,-0.0034,0.5170,0.5101,
1.106763914,0.4940,-0.0034,0.5170,0.5101,
1.105763914,0.4940,-0.0034,0.5170,0.5101,
1.104763914,0.4940,-0.0034,0.5170,0.5101,
1.103763914,0.4940,-0.0034,0.5170,0.5101,
1.102763914,0.4940,-0.0034,0.5170,0.5101,
1.101763914,0.4940,-0.0034,0.5170,0.5101,
1.100763914,0.4940,-0.0034,0.5170,0.5101,
1.099763914,0.4940,-0.0034,0.5170,0.5101,
1.098763914,0.4940,-0.0034,0.5170,0.5101,
1.097763914,0.4940,-0.0034,0.5170,0.5101,
1.096763914,0.4940,-0.0034,0.5170,0.5101,
1.095763914,0.4940,-0.0034,0.5170,0.5101,
1.094763914,0.4940,-0.0034,0.5170,0.5101,
1.093763914,0.4940,-0.0034,0.5170,0.5101,
1.092763914,0.4940,-0.0034,0.5170,0.5101,
1.091763914,0.4940,-0.0034,0.5170,0.5101,
1.090763914,0.4940,-0.0034,0.5170,0.5101,
1.089763914,0.4940,-0.0034,0.5170,0.5101,
1.088763914,0.4940,-0.0034,0.5170,0.5101,
1.087763914,0.4940,-0.0034,0.5170,0.5101,
1.086763914,0.4940,-0.0034,0.5170,0.5101,
1.085763914,0.4940,-0.0034,0.5170,0.5101,
1.084763914,0.4940,-0.0034,0.5170,0.5101,
1.083763914,0.4940,-0.0034,0.5170,0.5101,
1.082763914,0.4940,-0.0034,0.5170,0.5101,
1.081763914,0.4940,-0.0034,0.5170,0.5101,
1.080763914,0.4940,-0.0034,0.5170,0.5101,
1.079763914,0.4940,-0.0034,0.5170,0.5101,
1.078763914,0.4940,-0.0034,0.5170,0.5101,
1.077763914,0.4940,-0.0034,0.5170,0.5101,
1.076763914,0.4940,-0.0034,0.5170,0.5101,
1.075763914,0.4940,-0.0034,0.5170,0.5101,
1.074763914,0.4940,-0.0034,0.5170,0.5101,
1.073763914,0.4940,-0.0034,0.5170,0.5101,
1.072763914,0.4940,-0.0034,0.5170,0.5101,
1.071763914,0.4940,-0.0034,0.5170,0.5101,
1.070763914,0.4940,-0.0034,0.5170,0.5101,
1.069763914,0.4940,-0.0034,0.5170,0.5101,
1.068763914,0.4940,-0.0034,0.5170,0.5101,
1.067763914,0.4940,-0.0034,0.5170,0.5101,
1.066763914,0.4940,-0.0034,0.5170,0.5101,
1.065763914,0.4940,-0.0034,0.5170,0.5101,
1.064763914,0.4940,-0.0034,0.5170,0.5101,
1.063763914,0.4940,-0.0034,0.5170,0.5101,
1.062763914,0.4940,-0.0034,0.5170,0.5101,
1.061763914,0.4940,-0.0034,0.5170,0.5101,
1.060763914,0.4940,-0.0034,0.5170,0.5101,
1.059763914,0.4940,-0.0034,0.5170,0.5101,
1.058763914,0.4940,-0.0034,0.5170,0.5101,
1.057763914,0.4940,-0.0034,0.5170,0.5101,
1.056763914,0.4940,-0.0034,0.5170,0.5101,
1.055763914,0.4940,-0.0034,0.5170,0.5101,
1.054763914,0.4940,-0.0034,0.5170,0.5101,
1.053763914,0.4940,-0.0034,0.5170,0.5101,
1.052763914,0.4940,-0.0034,0.5170,0.5101,
1.051763914,0.4940,-0.0034,0.5170,0.5101,
1.050763914,0.4940,-0.0034,0.5170,0.5101,
1.049763914,0.4940,-0.0034,0.5170,0.5101,
1.048763914,0.4940,-0.0034,0.5170,0.5101,
1.047763914,0.4940,-0.0034,0.5170,0.5101,
1.046763914,0.4940,-0.0034,0.5170,0.5101,
1.045763914,0.4940,-0.0034,0.5170,0.5101,
1.044763914,0.4940,-0.0034,0.5170,0.5101,
1.043763914,0.4940,-0.0034,0.5170,0.5101,
1.042763914,0.4940,-0.0034,0.5170,0.5101,
1.041763914,0.4940,-0.0034,0.5170,0.5101,
1.040763914,0.4940,-0.0034,0.5170,0.5101,
1.039763914,0.4940,-0.0034,0.5170,0.5101,
1.038763914,0.4940,-0.0034,0.5170,0.5101,
1.037763914,0.4940,-0.0034,0.5170,0.5101,
1.036763914,0.4940,-0.0034,0.5170,0.5101,
1.035763914,0.4940,-0.0034,0.5170,0.5101,
1.034763914,0.4940,-0.0034,0.5170,0.5101,
1.033763914,0.4940,-0.0034,0.5170,0.5101,
1.032763914,0.4940,-0.0034,0.5170,0.5101,
1.031763914,0.4940,-0.0034,0.5170,0.5101,
1.030763914,0.4940,-0.0034,0.5170,0.5101,
1.029763914,0.4940,-0.0034,0.5170,0.5101,
1.028763914,0.4940,-0.0034,0.5170,0.5101,
1.027763914,0.4940,-0.0034,0.5170,0.5101,
1.026763914,0.4940,-0.0034,0.5170,0.5101,
1.025763914,0.4940,-0.0034,0.5170,0.5101,
1.024763914,0.4940,-0.0034,0.5170,0.5101,
1.023763914,0.4940,-0.0034,0.5170,0.5101,
1.022763914,0.4940,-0.0034,0.5170,0.5101,
