"modelling relapse (re-label response variable of control patients): Uplift CCIF, ntree=100, split_method='KL'",,,,,,,,,,,,,,,,
group,Gilenya patients,Tecfidera patients,Gilenya Relapse,Tecfidera Relapse,Gilenya Relapse Rate,Tecfidera Relapse Rate,uplift,,group,Gilenya patients,Tecfidera patients,Gilenya Relapse,Tecfidera Relapse,Gilenya Relapse Rate,Tecfidera Relapse Rate,uplift
1,160,175,48,18,0.300 ,0.103 ,0.197 ,,1,160,175,26,30,0.163 ,0.171 ,-0.009 
2,167,168,12,12,0.072 ,0.071 ,0.000 ,,2,167,168,16,17,0.096 ,0.101 ,-0.005 
3,178,156,17,11,0.096 ,0.071 ,0.025 ,,3,154,180,11,17,0.071 ,0.094 ,-0.023 
4,176,159,11,14,0.063 ,0.088 ,-0.026 ,,4,180,155,19,20,0.106 ,0.129 ,-0.023 
5,170,165,12,59,0.071 ,0.358 ,-0.287 ,,5,162,173,25,33,0.154 ,0.191 ,-0.036 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"modelling relapse (not re-label response variable of control patients): Uplift CCIF, ntree=100, split_method='KL'",,,,,,,,,,,,,,,,
"performance: direction=2, groups=10",Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini,,,,,,
Training top 50%,0.047 ,0.226 ,-0.179 ,-0.323 ,0.112 ,0.147 ,-0.035 ,-0.026 ,0.793 ,0.035 ,,,,,,
Training bottom 50%,0.226 ,0.082 ,0.144 ,-0.323 ,0.128 ,0.137 ,-0.009 ,-0.026 ,0.793 ,0.035 ,,,,,,
Test top 50%,0.114 ,0.110 ,0.004 ,0.042 ,0.112 ,0.146 ,-0.034 ,-0.024 ,0.680 ,-0.007 ,,,,,,
Test bottom 50%,0.122 ,0.161 ,-0.038 ,0.042 ,0.127 ,0.137 ,-0.010 ,-0.024 ,0.680 ,-0.007 ,,,,,,
