Model: 1A Summary,Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC,Qini 
Test top 50%,0.067,0.076,-0.009,-0.011,0.103,0.135,-0.032,-0.018,0.625,0.011
Test bottom 50%,0.186,0.184,0.002,-0.011,0.131,0.145,-0.015,-0.018,0.625,0.011
,,,,,,,,,,
,,,,,,,,,,
Model 1H: Uplift CCIF based on top 25% Covariates (Kullback-Leibler divergence),Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC,Qini 
Training top 50%,0.067,0.154,-0.087,-0.131,0.108,0.144,-0.036,-0.019,0.719,0.014
Training bottom 50%,0.173,0.129,0.044,-0.131,0.124,0.141,-0.016,-0.019,0.719,0.014
Test top 50%,0.069,0.127,-0.058,-0.119,0.107,0.143,-0.035,-0.02,0.665,0.011
Test bottom 50%,0.191,0.13,0.061,-0.119,0.123,0.139,-0.016,-0.02,0.665,0.011
,,,,,,,,,,
,,,,,,,,,,
Model 1H: Uplift CCIF based on top 50% Covariates (Kullback-Leibler divergence),Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC,Qini 
Training top 50%,0.059,0.22,-0.16,-0.274,0.111,0.152,-0.041,-0.023,0.763,0.024
Training bottom 50%,0.205,0.091,0.114,-0.274,0.121,0.139,-0.018,-0.023,0.763,0.024
Test top 50%,0.099,0.098,0.001,-0.014,0.111,0.151,-0.041,-0.022,0.667,-0.007
Test bottom 50%,0.167,0.152,0.015,-0.014,0.119,0.138,-0.019,-0.022,0.667,-0.007
,,,,,,,,,,
,,,,,,,,,,
Model 1I modelling persistent: tenfold CV Uplift RF based on top 15% Covariates,Actual Gilenya persistent rate ,Actual Tecfidera persistent rate,Actual difference in persistent rate,Actual summary treatment effect,Expected Gilenya persistent rate ,Expected Tecfidera persistent rate,Expected difference in persistent rate,Expected summary treatment effect,AUC,Qini 
Training top 50%,0.812,0.825,-0.013,-0.241,0.842,0.785,0.057,-0.114,0.696,0.079
Training bottom 50%,0.878,0.65,0.228,-0.241,0.86,0.688,0.172,-0.114,0.696,0.079
Test top 50%,0.857,0.76,0.097,-0.015,0.843,0.785,0.058,-0.114,0.61,0.036
Test bottom 50%,0.84,0.728,0.112,-0.015,0.859,0.687,0.173,-0.114,0.61,0.036
,,,,,,,,,,
,,,,,,,,,,
Model 1I modelling persistent: tenfold CV Uplift RF based on top 25% Covariates,Actual Gilenya persistent rate ,Actual Tecfidera persistent rate,Actual difference in persistent rate,Actual summary treatment effect,Expected Gilenya persistent rate ,Expected Tecfidera persistent rate,Expected difference in persistent rate,Expected summary treatment effect,AUC,Qini 
Training top 50%,0.797,0.857,-0.06,-0.335,0.843,0.782,0.06,-0.106,0.725,0.098
Training bottom 50%,0.891,0.616,0.275,-0.335,0.858,0.692,0.167,-0.106,0.725,0.098
Test top 50%,0.858,0.775,0.083,-0.042,0.844,0.781,0.063,-0.104,0.613,0.036
Test bottom 50%,0.839,0.714,0.125,-0.042,0.858,0.69,0.167,-0.104,0.613,0.036
,,,,,,,,,,
,,,,,,,,,,
Model 1I modelling persistent: tenfold CV Uplift RF based on top 50% Covariates,Actual Gilenya persistent rate ,Actual Tecfidera persistent rate,Actual difference in persistent rate,Actual summary treatment effect,Expected Gilenya persistent rate ,Expected Tecfidera persistent rate,Expected difference in persistent rate,Expected summary treatment effect,AUC,Qini 
Training top 50%,0.756,0.896,-0.139,-0.497,0.84,0.776,0.064,-0.097,0.766,0.134
Training bottom 50%,0.922,0.564,0.358,-0.497,0.859,0.698,0.161,-0.097,0.766,0.134
Test top 50%,0.858,0.776,0.082,-0.046,0.841,0.775,0.066,-0.092,0.616,0.044
Test bottom 50%,0.839,0.712,0.127,-0.046,0.857,0.698,0.159,-0.092,0.616,0.044
,,,,,,,,,,
,,,,,,,,,,
Model 1J modelling relapse: tenfold CV Uplift RF based on top 15% Covariates,Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC,Qini 
Training top 50%,0.043,0.172,-0.128,-0.221,0.079,0.148,-0.07,-0.094,0.775,0.036
Training bottom 50%,0.197,0.105,0.092,-0.221,0.157,0.133,0.025,-0.094,0.775,0.036
Test top 50%,0.085,0.105,-0.02,0.001,0.078,0.147,-0.069,-0.093,0.658,-0.001
Test bottom 50%,0.149,0.17,-0.021,0.001,0.158,0.134,0.024,-0.093,0.658,-0.001
,,,,,,,,,,
,,,,,,,,,,
Model 1J modelling relapse: tenfold CV Uplift RF based on top 25% Covariates,Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC,Qini 
Training top 50%,0.034,0.199,-0.165,-0.292,0.083,0.152,-0.069,-0.087,0.813,0.045
Training bottom 50%,0.211,0.084,0.127,-0.292,0.151,0.134,0.018,-0.087,0.813,0.045
Test top 50%,0.092,0.111,-0.019,0,0.083,0.152,-0.069,-0.085,0.672,-0.004
Test bottom 50%,0.145,0.164,-0.019,0,0.151,0.135,0.016,-0.085,0.672,-0.004
,,,,,,,,,,
,,,,,,,,,,
Model 1J modelling relapse: tenfold CV Uplift RF based on top 50% Covariates,Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC,Qini 
Training top 50%,0.024,0.243,-0.219,-0.398,0.09,0.156,-0.066,-0.079,0.859,0.06
Training bottom 50%,0.231,0.052,0.18,-0.398,0.145,0.133,0.013,-0.079,0.859,0.06
Test top 50%,0.113,0.118,-0.005,0.027,0.09,0.155,-0.064,-0.074,0.696,-0.008
Test bottom 50%,0.123,0.155,-0.032,0.027,0.145,0.135,0.01,-0.074,0.696,-0.008
