variable,case_relapse,case_not_relapse,case_relapse_rate,control_relapse,control_not_relapse,control_relapse_rate,odds_ratio,p_value
pre_comor3_interact,31,143,0.1782,397,2777,0.1251,1.52,0.05
pre_comor4_interact,49,215,0.1856,379,2705,0.1229,1.63,0.01
pre_comor5_interact,80,444,0.1527,348,2476,0.1232,1.28,0.07
pre_comor6_interact,40,167,0.1932,388,2753,0.1235,1.7,0.01
pre_comor7_interact,31,129,0.1938,397,2791,0.1245,1.69,0.01
pre_comor8_interact,8,28,0.2222,420,2892,0.1268,1.97,0.12
pre_comor9_interact,2,16,0.1111,426,2904,0.1279,0.85,1
pre_comor10_interact,8,29,0.2162,420,2891,0.1268,1.9,0.13
pre_comor11_interact,30,207,0.1266,398,2713,0.1279,0.99,1
pre_comor12_interact,23,75,0.2347,405,2845,0.1246,2.15,0
pre_comor13_interact,61,324,0.1584,367,2596,0.1239,1.33,0.06
pre_comor14_interact,14,52,0.2121,414,2868,0.1261,1.86,0.06
pre_comor15_interact,20,73,0.2151,408,2847,0.1253,1.91,0.02
pre_comor16_interact,31,128,0.195,397,2792,0.1245,1.7,0.01
pre_comor17_interact,6,23,0.2069,422,2897,0.1271,1.79,0.26
pre_comor18_interact,0,0,NaN,428,2920,0.1278,0,1
pre_comor19_interact,0,6,0,428,2914,0.1281,0,1
pre_comor20_interact,1,12,0.0769,427,2908,0.128,0.57,1
pre_comor21_interact,0,0,NaN,428,2920,0.1278,0,1
pre_comor22_interact,1,11,0.0833,427,2909,0.128,0.62,1
pre_comor23_interact,61,290,0.1738,367,2630,0.1225,1.51,0.01
pre_comor24_interact,16,95,0.1441,412,2825,0.1273,1.15,0.56
pre_comor25_interact,52,363,0.1253,376,2557,0.1282,0.97,0.94
pre_comor26_interact,6,40,0.1304,422,2880,0.1278,1.02,1
pre_comor27_interact,13,93,0.1226,415,2827,0.128,0.95,1
pre_comor28_interact,1,10,0.0909,427,2910,0.128,0.68,1
pre_comor29_interact,7,32,0.1795,421,2888,0.1272,1.5,0.33
pre_comor30_interact,17,64,0.2099,411,2856,0.1258,1.85,0.04
pre_comor31_interact,25,117,0.1761,403,2803,0.1257,1.49,0.09
pre_comor32_interact,4,7,0.3636,424,2913,0.1271,3.92,0.04
pre_comor33_interact,13,39,0.25,415,2881,0.1259,2.31,0.02
pre_ampyra1_interact,17,132,0.1141,411,2788,0.1285,0.87,0.71
pre_mri_any_interact,162,1108,0.1276,266,1812,0.128,1,1
pre_90_mri_any_interact,77,552,0.1224,351,2368,0.1291,0.94,0.69
num_pre_mri_any_1_interact,35,369,0.0866,393,2551,0.1335,0.62,0.01
num_pre_mri_any_2_interact,46,411,0.1007,382,2509,0.1321,0.74,0.07
num_pre_mri_any_3_interact,64,454,0.1236,364,2466,0.1286,0.96,0.83
num_pre_mri_any_4_interact,52,243,0.1763,376,2677,0.1232,1.52,0.01
pre_90_cort_any_interact,98,325,0.2317,330,2595,0.1128,2.37,0
pre_cort_oral_interact,98,433,0.1846,330,2487,0.1171,1.71,0
num_pre_cort_oral_1_interact,99,1044,0.0866,329,1876,0.1492,0.54,0
num_pre_cort_oral_2_interact,45,275,0.1406,383,2645,0.1265,1.13,0.48
num_pre_cort_oral_3_interact,53,158,0.2512,375,2762,0.1195,2.47,0
pre_cort_iv_interact,115,458,0.2007,313,2462,0.1128,1.97,0
num_pre_cort_iv_1_interact,82,1019,0.0745,346,1901,0.154,0.44,0
num_pre_cort_iv_2_interact,52,256,0.1688,376,2664,0.1237,1.44,0.03
num_pre_cort_iv_3_interact,63,202,0.2377,365,2718,0.1184,2.32,0
pre_relapse_interact,125,502,0.1994,303,2418,0.1114,1.99,0
pre_relapse_90_interact,72,243,0.2286,356,2677,0.1174,2.23,0
pre_ip_relapse_interact,13,55,0.1912,415,2865,0.1265,1.63,0.14
num_pre_relapses_1_interact,72,975,0.0688,356,1945,0.1547,0.4,0
num_pre_relapses_2_interact,59,361,0.1405,369,2559,0.126,1.13,0.39
num_pre_relapses_3_interact,66,141,0.3188,362,2779,0.1152,3.59,0
