pre1_edss_score__ge2d5,Whether or not the latest EDSS score within 361-720 days pre-index is greater than or equal to 2.5,
pre1_edss_score__missing,Whether or not the latest EDSS score within 361-720 days pre-index is missing,
pre1_edssconf3__0,Whether or not there is NOT confirmed EDSS progression for the score within 361-720 days pre-index,
pre1_edssconf3__1,Whether or not there is confirmed EDSS progression for the score within 361-720 days pre-index,
pre1_edssconf3__missing,Whether or not the information about confirmed EDSS progression for the score within 361-720 days pre-index is missing,
pre1_edssprog__0,Whether or not there is NOT EDSS progression for the score within 361-720 days pre-index,
pre1_edssprog__1,Whether or not there is EDSS progression for the score within 361-720 days pre-index,
pre1_edssprog__missing,Whether or not the information about EDSS progression for the score within 361-720 days pre-index is missing,
pre2_edss_score__0_1,Whether or not the latest EDSS score within 721-1080 days pre-index is 0 or 1,
pre2_edss_score__1d5_2,Whether or not the latest EDSS score within 721-1080 days pre-index is 1.5 or 2,
pre2_edss_score__ge2d5,Whether or not the latest EDSS score within 721-1080 days pre-index is greater than or equal to 2.5,
pre2_edss_score__missing,Whether or not the latest EDSS score within 721-1080 days pre-index is missing,
pre2_edssconf3__0,Whether or not there is NOT confirmed EDSS progression for the score within 721-1080 days pre-index,
pre2_edssconf3__1,Whether or not there is confirmed EDSS progression for the score within 721-1080 days pre-index,
pre2_edssconf3__missing,Whether or not the information about confirmed EDSS progression for the score within 721-1080 days pre-index is missing,
pre2_edssprog__0,Whether or not there is NOT EDSS progression for the score within 721-1080 days pre-index,
pre2_edssprog__1,Whether or not there is EDSS progression for the score within 721-1080 days pre-index,
pre2_edssprog__missing,Whether or not the information about EDSS progression for the score within 721-1080 days pre-index is missing,
pre3_edss_score__0_1,Whether or not the latest EDSS score within 1081-1440 days pre-index is 0 or 1,
pre3_edss_score__1d5_2,Whether or not the latest EDSS score within 1081-1440 days pre-index is 1.5 or 2,
pre3_edss_score__ge2d5,Whether or not the latest EDSS score within 1081-1440 days pre-index is greater than or equal to 2.5,
pre3_edss_score__missing,Whether or not the latest EDSS score within 1081-1440 days pre-index is missing,
pre3_edssconf3__0,Whether or not there is NOT confirmed EDSS progression for the score within 1081-1440 days pre-index,
pre3_edssconf3__1,Whether or not there is confirmed EDSS progression for the score within 1081-1440 days pre-index,
pre3_edssconf3__missing,Whether or not the information about confirmed EDSS progression for the score within 1081-1440 days pre-index is missing,
pre3_edssprog__0,Whether or not there is NOT EDSS progression for the score within 1081-1440 days pre-index,
pre3_edssprog__1,Whether or not there is EDSS progression for the score within 1081-1440 days pre-index,
pre3_edssprog__missing,Whether or not the information about EDSS progression for the score within 1081-1440 days pre-index is missing,
relapse_pre_90_01__0,Whether or not there is NOT any relapse within 90 days pre-index,
relapse_pre_90_01__1,Whether or not there is any relapse within 90 days pre-index,
relapse_pre_91to180_01__0,Whether or not there is NOT any relapse within 91-180 days pre-index,
relapse_pre_91to180_01__1,Whether or not there is any relapse within 91-180 days pre-index,
relapse_pre_181to360_01__0,Whether or not there is NOT any relapse within 181-360 days pre-index,
relapse_pre_181to360_01__1,Whether or not there is any relapse within 181-360 days pre-index,
relapse_pre_1to2_01__0,Whether or not there is NOT any relapse within 361-720 days pre-index,
relapse_pre_1to2_01__1,Whether or not there is any relapse within 361-720 days pre-index,
relapse_pre_2to3_01__0,Whether or not there is NOT any relapse within 721-1080 days pre-index,
relapse_pre_2to3_01__1,Whether or not there is any relapse within 721-1080 days pre-index,
relapse_pre_3to4_01__0,Whether or not there is NOT any relapse within 1081-1440 days pre-index,
relapse_pre_3to4_01__1,Whether or not there is any relapse within 1081-1440 days pre-index,
years_diag_idx__le2,Whether or not the number of years since diagnosis of RRMS to index is less than or equal to 2,
years_diag_idx__gt2_le5,Whether or not the number of years since diagnosis of RRMS to index is greater than 2 and less than or equal to 5,
years_diag_idx__gt5,Whether or not the number of years since diagnosis of RRMS to index is greater than 5,
years_diag_idx__missing,Whether or not the number of years since diagnosis of RRMS to index is missing,
