variable,num_sign_std,mean_OR_std,D_OR_std,num_retain_stepwise,num_sign_stepwise,mean_OR_stepwise,SD_OR_stepwise,num_retain_lasso,num_sign_lasso,mean_OR_lasso,SD_OR_lasso,mean_OR_std_lasso,dif_OR_14,mean_OR_stepwise_lasso,dif_OR_16,var_description
pre_comor3,7,1.22792285939913,0.880510242067731,20,5,1.76997050552157,1.25229562434998,17,2,1.20155694288794,0.555630144437101,1.72719765405662,-0.525640711168678,2.27275550628591,-1.07119856339797,Boolean for pre-index symptoms and comorbidities: Dizziness and Vertigo
pre_comor4,11,1.39956479656231,0.758823663872076,32,17,1.88981399723126,0.892433394986553,34,6,1.30547368188156,0.422030558299556,1.89233325629322,-0.586859574411665,2.11045098978158,-0.804977307900022,Boolean for pre-index symptoms and comorbidities: Muscle weakness/spasm/spasticity
pre_comor5,6,1.04624115697082,0.472729454863538,16,6,1.45561794992042,0.884285018176823,28,3,1.03719246687603,0.261495807246066,1.23309733599677,-0.195904869120741,1.59945790515428,-0.562265438278253,Boolean for pre-index symptoms and comorbidities: Fatigue
pre_comor6,10,1.61814964283899,0.883406004849007,28,17,2.54021736139547,0.749509527666723,20,5,1.64275373374781,0.816873378588254,2.34076150037909,-0.698007766631288,2.79034389346143,-1.14759015971362,Boolean for pre-index symptoms and comorbidities: Bladder Dysfunction
pre_comor7,7,1.28687524845079,0.88478383628321,24,12,1.76568391724988,1.25789074826736,21,5,1.25883456800993,0.639261131841946,1.88867774236596,-0.629843174356026,2.00212328584698,-0.743288717837046,Boolean for pre-index symptoms and comorbidities: Bowel Dysfunction
pre_comor11,3,1.02234039445124,0.595360710167349,18,4,0.988051019407857,1.01535164845164,19,3,1.02081715419136,0.464609373499177,1.03728278576542,-0.0164656315740572,1.01543220960516,0.00538494458620309,Boolean for pre-index symptoms and comorbidities: Visual Symptoms
pre_comor12,13,1.86167798048123,1.63066042773625,27,15,3.44229389411109,1.89430855999384,16,8,1.62413782094582,0.846994696271255,3.34763639046441,-1.72349856951859,3.92807265184622,-2.3039348309004,Boolean for pre-index symptoms and comorbidities: Pain
pre_comor13,6,1.14493146288982,0.589548361288056,20,8,1.53298679293191,0.911024737786324,16,5,1.15914845303156,0.478854087041473,1.40372677310917,-0.244578320077607,1.60287886859031,-0.443730415558753,Boolean for pre-index symptoms and comorbidities: Headache
pre_comor14,11,2.2429160537246,3.33614852216284,21,7,3.48700610349956,4.21323723868465,12,6,2.61005943327134,3.09990474328769,7.28689014034006,-4.67683070706871,6.85085096008108,-4.24079152680974,Boolean for pre-index symptoms and comorbidities: Seizures
pre_comor15,4,1.41763871877571,1.07810921157587,12,5,2.47670660039173,1.86124006481691,11,2,0.920788604573135,0.412045061103096,1.63266878312692,-0.711880178553789,2.09488157732741,-1.17409297275428,Boolean for pre-index symptoms and comorbidities: Tremor
pre_comor16,10,1.58942454536132,1.13944869962069,24,12,2.79830835646515,1.45663949766505,24,8,1.51671549909631,0.604680982467484,2.51836971801809,-1.00165421892178,3.31217652635945,-1.79546102726313,Boolean for pre-index symptoms and comorbidities: Respiration/breathing problems
pre_comor23,7,1.297117467268,0.618305136843351,23,9,1.72138822665005,0.953406487650415,31,8,1.28537506804535,0.383725550827449,1.76509609366564,-0.479721025620286,2.07491922882922,-0.789544160783866,Boolean for pre-index symptoms and comorbidities: Depression Comorbidity
pre_comor24,5,0.75494684417373,0.842523915479221,32,6,0.649429198687475,1.1271062608797,13,2,0.828100025940315,0.387365627566641,0.854217676962511,-0.0261176510221961,0.599141756816845,0.22895826912347,Boolean for pre-index symptoms and comorbidities: Diabetes mellitus
pre_comor25,9,1.21183906378939,0.680565706015855,21,12,1.23489559359086,1.01009667621549,17,4,1.05463790320756,0.431644435895667,1.28381603906698,-0.22917813585942,1.27143683587351,-0.216798932665944,Boolean for pre-index symptoms and comorbidities: Dyslipidemia
pre_comor27,4,0.764516289542715,1.01306176365665,30,5,0.506930768117114,0.968723720856273,10,2,0.53711750755368,0.233443824861637,0.263233415556831,0.273884091996848,0.144279431929924,0.392838075623755,Boolean for pre-index symptoms and comorbidities: History of CVD
pre_comor30,9,1.76665918887628,1.85278091236719,27,10,2.62971898627503,2.25042556537046,15,2,1.45585103671983,0.945055106514628,2.63957811982769,-1.18372708310786,2.71364589051772,-1.25779485379789,Boolean for pre-index symptoms and comorbidities: Obesity
pre_comor31,9,1.30681678470438,0.995198812819914,23,10,1.77269391560226,1.56673072159438,19,6,1.27320892949029,0.49983090466125,2.32453070880603,-1.05132177931574,2.8095306941299,-1.53632176463962,Boolean for pre-index symptoms and comorbidities: Tobacco use (including disorder)
pchrlson_2,10,1.76220943999746,1.06641008374875,29,15,2.46057261788859,1.10909161979096,28,7,1.20066139852474,0.34661859417625,2.23630742338456,-1.03564602485981,2.69962890613679,-1.49896750761205,CCI score = 1
pchrlson_3,12,1.77627660375443,1.379488358716,29,17,2.40206370357629,1.4272706442487,25,7,1.15840495312827,0.582932642505224,2.01656146509773,-0.858156511969464,2.12140686975706,-0.963001916628787,CCI score = 2+
num_pre_meds_upmedian,27,2.14392806917692,1.33239628916639,50,41,2.95379003570986,1.08512074881041,81,35,1.57139997286044,0.462074623955713,2.37661377874084,-0.8052138058804,2.95379003570986,-1.38239006284942,NA
num_pre_op_dx_upmedian,15,1.87383030091597,0.982408723061798,36,21,2.61213153658105,0.797111769131129,63,18,1.43904907892325,0.403425103140309,2.24667621090025,-0.807627131977001,2.70823178618346,-1.26918270726021,NA
pre_non_ms_total_allowed_upmedian,6,1.30220195520694,0.682281520651356,22,10,2.03268962096724,0.745132592016566,41,3,1.32873695995057,0.319845821869072,1.76214240881908,-0.433405448868509,2.11627572353345,-0.787538763582875,NA
pre_ms_total_allowed_upmedian,6,1.345045937362,0.812253118043944,17,10,2.19859008660851,1.30855288740441,28,6,1.30167507890693,0.602494101299503,1.69719040856629,-0.395515329659364,2.69132545481615,-1.38965037590922,NA
idx_paytype_other,4,6520686.4289669,24515717.6670847,21,6,5325972.31628307,10431576.3534215,5,0,2.37539315750945,1.46773561934775,21255886.7091551,-21255884.3337619,11515879.1806748,-11515876.8052816,NA
idx_prodtype_other,3,3923174.57052684,26452232.272682,23,5,5396552.77933497,11148339.4732367,7,0,1.51623316976926,1.911525038815,4074150.19259791,-4074148.67636474,7182930.48343366,-7182928.96720049,NA
idx_spec_05,8,3.62230183930692,6.07802811848295,24,8,6.56986586930147,6.60172940694068,4,1,4.58498775353511,6.46219559482915,6.07176900480495,-1.48678125126984,6.8614926578842,-2.27650490434909,Index Prescribing physician specialty: Unknown
