variable,var_description,num_sign_std,mean_OR_std,D_OR_std,num_retain_stepwise,num_sign_stepwise,mean_OR_stepwise,SD_OR_stepwise,num_retain_lasso,num_sign_lasso,mean_OR_lasso,SD_OR_lasso,mean_OR_std_lasso,dif_OR_14,mean_OR_stepwise_lasso,dif_OR_16,,
pre_comor6,Boolean for pre-index symptoms and comorbidities: Bladder Dysfunction,11,1.547164274,1.136573693,26,15,2.315613342,1.315968505,21,11,1.550480412,0.488470895,2.846291931,-1.295811519,3.145189185,-1.594708773,,
pre_comor7,Boolean for pre-index symptoms and comorbidities: Bowel Dysfunction,8,1.387349755,1.062816852,24,15,2.361716413,1.273231328,17,5,1.454400841,0.445804532,2.523303544,-1.068902703,2.854513111,-1.40011227,,
pre_comor11,Boolean for pre-index symptoms and comorbidities: Visual Symptoms,8,0.966403504,0.670143232,23,5,0.723590016,0.838049069,19,5,0.848890909,0.338201209,0.702520013,0.146370896,0.654147192,0.194743717,,
pre_comor12,Boolean for pre-index symptoms and comorbidities: Pain,10,1.847779362,1.377059495,36,16,2.752153224,1.349132998,13,2,1.335078659,0.507860832,2.592003087,-1.256924428,2.592228666,-1.257150007,,
pre_comor13,Boolean for pre-index symptoms and comorbidities: Headache,7,1.160581442,0.679630584,23,9,1.415534679,0.918545781,20,4,1.064035738,0.278088477,1.481798812,-0.417763074,1.480463992,-0.416428254,,
pre_comor14,Boolean for pre-index symptoms and comorbidities: Seizures,10,2.873508806,5.515263676,26,11,5.509685859,7.025383962,5,2,1.304470876,0.718494319,6.223126233,-4.918655357,6.964458023,-5.659987147,,
pre_comor15,Boolean for pre-index symptoms and comorbidities: Tremor,8,1.965349739,2.458580879,20,13,3.909791492,2.341595543,5,2,1.624835582,0.665244084,4.890450647,-3.265615065,5.379437533,-3.754601951,,
pre_comor16,Boolean for pre-index symptoms and comorbidities: Respiration/breathing problems,6,1.465144746,0.825456725,22,10,2.419059715,1.074151641,16,4,1.174944352,0.396938982,2.04574978,-0.870805428,2.102563044,-0.927618692,,
pre_comor23,Boolean for pre-index symptoms and comorbidities: Depression Comorbidity,5,1.266472523,0.586959776,18,10,2.04458111,0.802653224,29,4,1.255970863,0.293731506,1.73711365,-0.481142787,2.235390604,-0.979419742,,
pre_comor24,Boolean for pre-index symptoms and comorbidities: Diabetes mellitus,7,0.831637292,0.967628609,29,7,0.642173346,1.192348889,8,2,0.608073521,0.195901727,0.173819413,0.434254108,0.17649397,0.431579551,,
pre_comor25,Boolean for pre-index symptoms and comorbidities: Dyslipidemia,11,1.197333057,0.640806575,20,9,1.576574205,0.928720786,15,6,1.072717646,0.37523119,1.583004452,-0.510286806,1.684709687,-0.611992041,,
pre_comor27,Boolean for pre-index symptoms and comorbidities: History of CVD,5,0.895702963,0.979718289,28,5,0.812676849,1.489537384,3,2,0.650288479,0.396393248,2.015711945,-1.365423466,2.924054161,-2.273765682,,
pre_comor30,Boolean for pre-index symptoms and comorbidities: Obesity,7,1.635609365,1.833698758,18,4,2.223604845,2.434393615,7,2,2.023874304,2.67103669,3.813650229,-1.789775924,3.139882763,-1.116008459,,
pre_comor31,Boolean for pre-index symptoms and comorbidities: Tobacco use (including disorder),9,1.35274408,0.945839641,15,8,2.507676466,1.478967327,9,3,1.408839218,0.448396054,2.652188596,-1.243349378,2.688038805,-1.279199587,,
pchrlson_2,CCI score = 1,14,1.771492791,1.20374357,28,22,2.455061256,1.250686809,21,8,1.357779595,0.386193778,2.550775362,-1.192995767,2.50847601,-1.150696415,,
pchrlson_3,CCI score = 2+,12,1.750306746,1.549520261,28,15,1.995230382,1.612971096,20,8,1.428183861,0.6093444,3.165523303,-1.737339442,2.528869252,-1.100685391,,
num_pre_meds_upmedian,NA,18,1.909583364,0.812471629,50,35,2.579952373,0.615588666,81,22,1.450892412,0.33201757,2.098914315,-0.648021903,2.579952373,-1.129059961,,
num_pre_op_dx_upmedian,NA,14,1.815105341,0.85664164,43,24,2.489662443,0.731689663,61,16,1.469292654,0.396026615,2.244091556,-0.774798902,2.571649913,-1.102357259,,
pre_non_ms_total_allowed_upmedian,NA,5,1.305576122,0.589323253,23,9,1.87478367,0.617334974,36,4,1.293777899,0.195371426,1.796901779,-0.503123881,2.113260471,-0.819482573,,
pre_ms_total_allowed_upmedian,NA,8,1.444687917,1.299224972,18,12,2.479734079,1.919347986,23,3,1.389783754,0.931644646,2.281468001,-0.891684248,2.932493114,-1.54270936,,
